"Entity Name","Branch Region","Branch","Division","Due Date","Top Level Customer ID","Top Level Customer Name","Customer ID","Customer","Billing Group ID","Billing Group","Invoice ID","Invoice #","Issue Date","Total","Outstanding","Delivery","Status"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28666","NSW1651","23.3.2024","3,033.39","3,033.39","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28667","NSW1652","23.3.2024","666.59","666.59","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","22.4.2024","98","Delivering for Customers (D4C)","98","Delivering for Customers (D4C)","","","28669","NSW1654","23.3.2024","5,882.94","5,882.94","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","27.4.2024","98","Delivering for Customers (D4C)","98","Delivering for Customers (D4C)","","","28670","NSW1655","28.3.2024","708.38","708.38","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","22.4.2024","98","Delivering for Customers (D4C)","98","Delivering for Customers (D4C)","","","28671","NSW1656","23.3.2024","3,803.28","3,803.28","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","22.4.2024","98","Delivering for Customers (D4C)","98","Delivering for Customers (D4C)","","","28672","NSW1657","23.3.2024","3,880.38","3,880.38","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28673","NSW1658","23.3.2024","2,000.34","2,000.34","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28674","NSW1659","23.3.2024","3,129.86","3,129.86","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28675","NSW1660","23.3.2024","709.82","709.82","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28676","NSW1661","23.3.2024","1,468.80","1,468.80","Email/PDF","Sent"
