"Entity Name","Branch Region","Branch","Division","Due Date","Top Level Customer ID","Top Level Customer Name","Customer ID","Customer","Billing Group ID","Billing Group","Invoice ID","Invoice #","Issue Date","Total","Outstanding","Delivery","Status"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","39108","QLD2043","5.12.2024","2,970.92","2,970.92","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","39109","QLD2044","5.12.2024","2,970.92","2,970.92","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","39110","QLD2045","5.12.2024","2,970.92","2,970.92","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","40","BMD Urban Pty Ltd","40","BMD Urban Pty Ltd","","","39111","QLD2046","5.12.2024","3,712.74","3,712.74","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","39112","QLD2047","5.12.2024","3,042.25","3,042.25","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","39113","QLD2048","5.12.2024","1,369.82","1,369.82","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","40","BMD Urban Pty Ltd","40","BMD Urban Pty Ltd","","","39114","QLD2049","5.12.2024","3,742.19","3,742.19","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","189","Hall Contracting Pty Ltd","189","Hall Contracting Pty Ltd","","","39115","QLD2050","5.12.2024","601.49","601.49","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","189","Hall Contracting Pty Ltd","189","Hall Contracting Pty Ltd","","","39116","QLD2051","5.12.2024","2,779.49","2,779.49","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","189","Hall Contracting Pty Ltd","189","Hall Contracting Pty Ltd","","","39117","QLD2052","5.12.2024","3,183.39","3,183.39","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","189","Hall Contracting Pty Ltd","189","Hall Contracting Pty Ltd","","","39118","QLD2053","5.12.2024","3,349.83","3,349.83","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","189","Hall Contracting Pty Ltd","189","Hall Contracting Pty Ltd","","","39119","QLD2054","5.12.2024","2,664.90","2,664.90","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","189","Hall Contracting Pty Ltd","189","Hall Contracting Pty Ltd","","","39120","QLD2055","5.12.2024","2,881.46","2,881.46","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","189","Hall Contracting Pty Ltd","189","Hall Contracting Pty Ltd","","","39121","QLD2056","5.12.2024","3,620.91","3,620.91","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","165","Malcolm Civil","165","Malcolm Civil","","","39122","QLD2057","5.12.2024","416.38","416.38","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","165","Malcolm Civil","165","Malcolm Civil","","","39123","QLD2058","5.12.2024","373.81","373.81","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","165","Malcolm Civil","165","Malcolm Civil","","","39124","QLD2059","5.12.2024","627.59","627.59","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","165","Malcolm Civil","165","Malcolm Civil","","","39125","QLD2060","5.12.2024","1,200.14","1,200.14","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","165","Malcolm Civil","165","Malcolm Civil","","","39126","QLD2061","5.12.2024","1,292.31","1,292.31","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","165","Malcolm Civil","165","Malcolm Civil","","","39142","QLD2061A","5.12.2024","1,402.59","1,402.59","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","165","Malcolm Civil","165","Malcolm Civil","","","39127","QLD2062","5.12.2024","3,249.91","3,249.91","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","165","Malcolm Civil","165","Malcolm Civil","","","39128","QLD2063","5.12.2024","2,685.50","2,685.50","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","155","Moody Civil and Pipe","155","Moody Civil and Pipe","","","39129","QLD2064","5.12.2024","1,610.52","1,610.52","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","155","Moody Civil and Pipe","155","Moody Civil and Pipe","","","39130","QLD2065","5.12.2024","2,719.62","2,719.62","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","213","MXB Group","213","MXB Group","","","39131","QLD2066","5.12.2024","3,334.65","3,334.65","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","167","OM Civil Pty Ltd","167","OM Civil Pty Ltd","","","39133","QLD2068","5.12.2024","551.35","551.35","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","220","Red Dog Group","220","Red Dog Group","","","39134","QLD2069","5.12.2024","1,073.28","1,073.28","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","216","Shadforth Civil Pty Ltd","216","Shadforth Civil Pty Ltd","","","39135","QLD2070","5.12.2024","2,880.36","2,880.36","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","216","Shadforth Civil Pty Ltd","216","Shadforth Civil Pty Ltd","","","39136","QLD2071","5.12.2024","1,376.45","1,376.45","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","216","Shadforth Civil Pty Ltd","216","Shadforth Civil Pty Ltd","","","39137","QLD2072","5.12.2024","2,411.93","2,411.93","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","216","Shadforth Civil Pty Ltd","216","Shadforth Civil Pty Ltd","","","39138","QLD2073","5.12.2024","2,042.60","2,042.60","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","216","Shadforth Civil Pty Ltd","216","Shadforth Civil Pty Ltd","","","39139","QLD2074","5.12.2024","3,158.94","3,158.94","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","135","Yeti Services","135","Yeti Services","","","39140","QLD2075","5.12.2024","3,603.05","3,603.05","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","168","Oakridge Services","168","Oakridge Services","","","39141","QLD2076","5.12.2024","3,744.69","3,744.69","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","27.12.2024","166","Aqua Pipeline Contracting","166","Aqua Pipeline Contracting","","","39603","QLD2077","13.12.2024","4,527.33","4,527.33","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","27.12.2024","166","Aqua Pipeline Contracting","166","Aqua Pipeline Contracting","","","39604","QLD2078","13.12.2024","7,844.38","7,844.38","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","27.12.2024","166","Aqua Pipeline Contracting","166","Aqua Pipeline Contracting","","","39605","QLD2079","13.12.2024","3,175.68","3,175.68","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","27.12.2024","166","Aqua Pipeline Contracting","166","Aqua Pipeline Contracting","","","39606","QLD2080","13.12.2024","3,315.27","3,315.27","Email/PDF","Sent"
