"Entity Name","Branch Region","Branch","Division","Due Date","Top Level Customer ID","Top Level Customer Name","Customer ID","Customer","Billing Group ID","Billing Group","Invoice ID","Invoice #","Issue Date","Total","Outstanding","Delivery","Status"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3579","INV4312","18.6.2020","2,241.98","2,241.98","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3580","INV4313","18.6.2020","829.66","829.66","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3581","INV4314","18.6.2020","829.66","829.66","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3582","INV4315","18.6.2020","2,241.98","2,241.98","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","21","Platinum Plant & Equipment Hire","21","Platinum Plant & Equipment Hire","","","3583","INV4316","18.6.2020","67,650.67","67,650.67","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.7.2020","35","Stabilised Pavements of Australia","35","Stabilised Pavements of Australia","","","3584","INV4317","18.6.2020","4,854.69","4,854.69","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","24","Wormall Civil","24","Wormall Civil","","","3585","INV4318","18.6.2020","613.01","613.01","Post","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","24","Wormall Civil","24","Wormall Civil","","","3586","INV4319","18.6.2020","360.75","360.75","Post","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","24","Wormall Civil","24","Wormall Civil","","","3587","INV4320","18.6.2020","2,694.23","2,694.23","Post","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","24","Wormall Civil","24","Wormall Civil","","","3588","INV4321","18.6.2020","1,596.91","1,596.91","Post","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","24","Wormall Civil","24","Wormall Civil","","","3589","INV4322","18.6.2020","2,510.74","2,510.74","Post","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3590","INV4323","18.6.2020","1,073.70","1,073.70","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3591","INV4324","18.6.2020","1,120.99","1,120.99","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3592","INV4325","18.6.2020","1,120.99","1,120.99","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3593","INV4326","18.6.2020","2,726.26","2,726.26","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3594","INV4327","18.6.2020","2,789.47","2,789.47","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3595","INV4328","18.6.2020","1,919.51","1,919.51","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3596","INV4329","18.6.2020","2,468.16","2,468.16","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3597","INV4330","18.6.2020","2,573.19","2,573.19","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3598","INV4331","18.6.2020","2,726.26","2,726.26","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3599","INV4332","18.6.2020","2,169.88","2,169.88","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3600","INV4333","18.6.2020","1,388.72","1,388.72","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3601","INV4334","18.6.2020","1,456.51","1,456.51","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3602","INV4335","18.6.2020","1,321.68","1,321.68","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3603","INV4336","18.6.2020","1,639.76","1,639.76","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3604","INV4337","18.6.2020","1,612.39","1,612.39","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.7.2020","15","Foti Earthmoving","15","Foti Earthmoving","","","3605","INV4338","18.6.2020","274.30","274.30","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.7.2020","15","Foti Earthmoving","15","Foti Earthmoving","","","3606","INV4339","18.6.2020","725.67","725.67","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.7.2020","11","GSS Hire (Aust)","11","GSS Hire (Aust)","","","3607","INV4340","18.6.2020","2,497.83","2,497.83","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","31","Mayday Rental","31","Mayday Rental","","","3608","INV4341","18.6.2020","4,826.84","4,826.84","Email/PDF","Sent"
